Player,Elo,s,c_fixed,AE,Moves,IPR,INT,SLOPE,R2,AVG_ERR
"Svidler,P",2736.5,0.09772360394789462,0.5018719035191319,0.07530353067238228,708,2738.5517334117103,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.0003796619900087034
"Adams,Mi",2719.0,0.0959980786195725,0.502436409852416,0.06727553535551381,434,2781.9358662828863,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.011645936114070804
"Polgar,Ju",2735.0,0.10709506645003056,0.5019202897762706,0.07717694704503623,432,2728.4275938692426,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.0012161876277429345
"Anand,V",2790.0,0.09113550063866059,0.5001461270145204,0.06707837131461691,811,2783.0013615416733,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.0012950595770747642
"Leko,P",2757.0,0.09680823511593616,0.5012106246715705,0.07337997957677841,861,2748.946806281375,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.001490199231385575
"Topalov,V",2801.3333333333335,0.09209862560860896,0.499780541960584,0.06444260857053735,1058,2797.2453012293026,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.0007564678700348604
"Morozevich,A",2732.5,0.11174586765454372,0.5020009335381683,0.0787679446185739,1122,2719.8296752851293,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.0023445739431101204
"Kasimdzhanov,R",2670.0,0.12923304045569708,0.5040170275856116,0.09857193243372882,456,2612.806837722367,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.01058328030400231
"Kramnik,V",2755.133333333333,0.0980804674898831,0.5012708386804541,0.07192973048664675,924,2756.784105225779,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.0003054662648467321
"Aronian,L",2750.0,0.12081995617620284,0.5014364272048841,0.08740560729215362,387,2673.1508357572116,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.014220515423883348
"Gelfand,B",2733.0,0.08962501294059089,0.5019848047857887,0.0641866115741553,394,2798.628735980731,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.012144236849674458
"Grischuk,A",2726.0,0.08993792735293424,0.5022106073191024,0.06755598604138752,442,2780.42028121594,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.010070173905319668
AVERAGE,2742.1222222222223,,,0.07442289874845924,8029,2743.3107611502787,0.5820574758558293,-0.0001850445032682033,0.43044926588104004,0.007694323172060962
